ID,SiteID,ObservationTimeUTC,Value
180571,36061NY09929,2020-01-19 10:00:00.000,9.85
180574,36061NY09929,2020-01-19 11:00:00.000,13.97
180577,36061NY09929,2020-01-19 12:00:00.000,8.85
180580,36061NY09929,2020-01-19 13:00:00.000,5.21
180583,36061NY09929,2020-01-19 14:00:00.000,7.04
180586,36061NY09929,2020-01-19 15:00:00.000,10.07
180589,36061NY09929,2020-01-19 16:00:00.000,5.88
180592,36061NY09929,2020-01-19 17:00:00.000,6.52
180595,36061NY09929,2020-01-19 18:00:00.000,5.84
180598,36061NY09929,2020-01-19 19:00:00.000,5.89
180601,36061NY09929,2020-01-19 20:00:00.000,8.87
180604,36061NY09929,2020-01-19 21:00:00.000,9.19
180607,36061NY09929,2020-01-19 22:00:00.000,10.05
180610,36061NY09929,2020-01-19 23:00:00.000,8.58
180613,36061NY09929,2020-01-20 00:00:00.000,9.25
180616,36061NY09929,2020-01-20 01:00:00.000,11.81
180619,36061NY09929,2020-01-20 02:00:00.000,8.1
180622,36061NY09929,2020-01-20 03:00:00.000,8.48
180625,36061NY09929,2020-01-20 04:00:00.000,5.49
180628,36061NY09929,2020-01-20 05:00:00.000,4.48
180631,36061NY09929,2020-01-20 07:00:00.000,4.1
180634,36061NY09929,2020-01-20 08:00:00.000,3.39
180637,36061NY09929,2020-01-20 09:00:00.000,3.45
180640,36061NY09929,2020-01-20 10:00:00.000,3.83
180643,36061NY09929,2020-01-20 11:00:00.000,4.76
180646,36061NY09929,2020-01-20 12:00:00.000,6.16
180649,36061NY09929,2020-01-20 13:00:00.000,11.59
180652,36061NY09929,2020-01-20 14:00:00.000,8.03
180655,36061NY09929,2020-01-20 15:00:00.000,8.23
180658,36061NY09929,2020-01-20 16:00:00.000,9.55
180661,36061NY09929,2020-01-20 17:00:00.000,7.41
180664,36061NY09929,2020-01-20 18:00:00.000,11.46
180667,36061NY09929,2020-01-20 19:00:00.000,8.59
180670,36061NY09929,2020-01-20 20:00:00.000,9.35
180673,36061NY09929,2020-01-20 21:00:00.000,11.15
180676,36061NY09929,2020-01-20 22:00:00.000,11.91
180679,36061NY09929,2020-01-20 23:00:00.000,14.28
180682,36061NY09929,2020-01-21 00:00:00.000,10.75
180687,36061NY09929,2020-01-21 02:00:00.000,5.77
180690,36061NY09929,2020-01-21 03:00:00.000,8.73
180693,36061NY09929,2020-01-21 04:00:00.000,6.54
180696,36061NY09929,2020-01-21 05:00:00.000,4.86
